ideophone;category
oh;feeling_state
ach;feeling_state
hmm;feeling_state
oje;feeling_state
pst;sound
aha;feeling_state
puh;feeling_state
naja;feeling_state
nanu;feeling_state
hurra;feeling_state
platsch;sound
aua;feeling_state
ups;sound
auweia;feeling_state
huhu;sound
bäh;feeling_state
hoppla;feeling_state
igitt;feeling_state
zickzack;movement
husch;movement
pfui;feeling_state
kuckuck;sound
ratsch;sound
bums;sound
dingdong;sound
hicks;sound
potzblitz;feeling_state
schwups;movement
papperlapapp;feeling_state
ruck_zuck;movement
holterdiepolter1;movement
holterdiepolter2;sound
klackerdiklack;sound
krimskrams;visual
kuddelmuddel;feeling_state
mischmasch;visual
pardauz;sound
schickimicki;visual
flugs;movement
plem_plem;feeling_state
ratz_fatz;movement
rambazamba;feeling_state
hä;feeling_state
remmidemmi;sound
wirrwarr;feeling_state
hallodri;feeling_state
ballaballa;feeling_state
dallidalli;movement
rickeracke;sound
singsang;sound
tohuwabohu;feeling_state
rabatz;sound
flutsch;movement
kracks;sound
wumms;sound
tatütata;sound
klatsch;sound
knurr;sound
schnipp_schnapp1;sound
schnipp_schnapp2;movement
flapp;sound
puff;sound
quack;sound
rülps;sound
hauruck;movement
brumm;sound
wusch;movement
plums;sound
plopp;sound
pah;feeling_state
hui;feeling_state
krächz;sound
