id;ideophone;N in corpus
1;oh;118
2;ach;102
3;hmm;59
4;oje;52
5;pst;37
6;aha;31
7;puh;31
8;naja;28
9;nanu;26
10;hurra;26
11;platsch;22
12;aua;20
13;ups;20
14;auweia;18
15;huhu;15
16;bÑh;12
17;hoppla;12
18;igitt;11
19;zickzack;8
20;husch;7
21;pfui;7
22;kuckuck;6
23;ratsch;6
24;bums;5
25;dingdong;4
26;hicks;4
27;potzblitz;4
28;schwups;4
29;papperlapapp;3
30;ruck zuck;3
31;holterdiepolter;1
32;klackerdiklack;1
33;krimskrams;1
34;kuddelmuddel;1
35;mischmasch;1
36;pardauz;1
37;schickimicki;1
38;flugs;0
39;plem plem;0
40;ratz fatz;0
41;rambazamba;0
42;hÑ;15
43;remmidemmi;0
44;wirrwarr;0
45;hallodri;0
46;ballaballa;0
47;dallidalli;0
48;rickeracke;0
49;singsang;0
50;tohuwabohu;0
51;rabatz;0
52;flutsch;0
53;kracks;1
54;wumms;2
55;tatÅtata;2
56;klatsch;2
57;knurr;2
58;schnipp schnapp;3
59;flapp;3
60;puff;4
61;quack;4
62;rÅlps;4
63;hauruck;4
64;brumm;6
65;wusch;7
66;plums;7
67;plopp;9
68;pah;12
69;hui;30
70;krÑchz;3
