Var1	Freq
na	124
oh	118
ach	102
hm	59
oje	52
he	44
ohnein	39
ah	38
pst	37
nagut	35
aha	31
puh	31
hui	30
äh	29
naja	28
nanu	26
hurra	25
platsch	22
haha	21
aua	20
ups	20
auweia	18
achso	17
huch	16
juhu	16
ui	16
achja	15
au	15
hä	15
huhu	15
tja	15
hihi	14
och	14
ha	13
mh	13
ohja	13
autsch	12
bäh	12
br	12
hoppla	12
miau	12
pah	12
uf	12
zzz	12
hatschi	11
hopp	11
igitt	11
ih	11
peng	11
ähm	10
jawohl	10
muh	10
o	10
onein	10
uah	10
auja	9
ohweh	9
piep	9
plopp	9
wow	9
zack	9
gr	8
klapp	8
ohoh	8
wuff	8
zickzack	8
boing	7
husch	7
mäh	7
na 	7
pf	7
pfui	7
pling	7
plumps	7
rums	7
schwupp	7
wusch	7
achwas	6
brumm	6
juchhe	6
juchhu	6
kikeriki	6
krach	6
kuckuck	6
lala	6
ohje	6
oja	6
plitsch	6
ratsch	6
roar	6
tut	6
uhu	6
zisch	6
bla	5
boah	5
bums	5
hehe	5
hu	5
mm	5
pieps	5
quak	5
uh	5
wau	5
dingdong	4
ei	4
flatter	4
hach	4
hauruck	4
hicks	4
hmpf	4
hoho	4
hops	4
jawoll	4
klick	4
klipp	4
knack	4
krack	4
oho	4
oweh	4
potzblitz	4
puff	4
quack	4
rülps	4
schnarch	4
schwups	4
tack	4
tick	4
wumm	4
achherrje	3
achje	3
ächz	3
ahja	3
biep	3
blubb	3
bumm	3
dong	3
flapp	3
gähn	3
hei	3
hipp	3
hokuspokus	3
hü	3
huah	3
huh	3
hüpf	3
iah	3
jippie	3
klitzeklein	3
klopf	3
knacks	3
knall	3
krächz	3
mhm	3
mjam	3
nunja	3
oha	3
ojemine	3
owei	3
papperlapapp	3
plong	3
pöh	3
rappel	3
ring	3
ruckzuck	3
schmatz	3
schnapp	3
schnipp	3
schwupps	3
simsalabim	3
sss	3
tada	3
tata	3
trapp	3
tripp	3
tschilp	3
wah	3
yippie	3
zawusch	3
äää	2
abrakadabra	2
achwo	2
ätsch	2
au 	2
buh	2
bum	2
bzd	2
dideldum	2
eh	2
ehm	2
eiderdaus	2
gack	2
gruah	2
gurr	2
hah	2
happ	2
happs	2
herrjemine	2
hi	2
ho	2
iii	2
jau	2
kawumm	2
klack	2
klatsch	2
kling	2
klirr	2
knurr	2
kratz	2
kreisch	2
kri	2
kribbelkrabbel	2
kusch	2
lalelu	2
mannomann	2
mucksmäuschenstill	2
o 	2
oah	2
oh 	2
oink	2
patsch	2
pft	2
ph	2
ping	2
plop	2
poff	2
pscht	2
quiek	2
quiep	2
ringel	2
ritsch	2
rumms	2
schlürf	2
schnickschnack	2
schnurr	2
taps	2
tatütata	2
ticktack	2
tirili	2
tok	2
tröt	2
ts	2
ua	2
wa	2
wamm	2
womm	2
wumms	2
zappel	2
zwosch	2
zwusch	2
ablabla	1
abrakadabrakadokadebra	1
ahak	1
ahakahakkr	1
ahohah	1
ahu	1
aiai	1
aoui	1
ar	1
arg	1
argh	1
auwei	1
baff	1
bah	1
bam	1
bambimbimbambam	1
bauz	1
bim	1
bimmelimm	1
bing	1
bip	1
blabitybla	1
blableulu	1
blah	1
blatzpadatz	1
blub	1
blubber	1
bong	1
brabel	1
braus	1
bricklebrit	1
brt	1
bruah	1
brummel	1
bruzel	1
bst	1
buht	1
buhu	1
bummpätschboing	1
bumms	1
buoah	1
bürst	1
chch	1
chrchrz	1
chrchrzchpü	1
da	1
dagga	1
deedleeedle	1
deedleeedleeedleeee	1
deedleeedleoodleeedle	1
diddeldidun	1
dijauh	1
dildil	1
ding	1
dingdongdilli	1
dingdusch	1
dirullala	1
doing	1
dschumfidelbum	1
düdelü	1
düdelüdel	1
dugge	1
dumdidum	1
eee	1
eenemeene	1
eijeijei	1
enemeene	1
enemeneeckmeckzeck	1
fchch	1
fefiefo	1
fefifofum	1
fidirullala	1
firlefanz	1
flatterschnatter	1
flieg	1
flipflop	1
flitsch	1
flitter	1
flofla	1
flop	1
flöt	1
flup	1
fluppi	1
fr	1
füh	1
fump	1
gaga	1
gak	1
gir	1
grah	1
groahr	1
groahrar	1
groar	1
groarä	1
groua	1
grummel	1
grunz	1
guckguk	1
gulp	1
häh	1
halleluja	1
haps	1
harrgh	1
hatschz	1
hauks	1
hepp	1
herrje	1
hh	1
hiauks	1
hick	1
hö	1
hoi	1
holla	1
hollahi	1
holterdiekapolter	1
holterdipolter	1
hoppel	1
hoppelpoppel	1
hopsa	1
hopsala	1
horks	1
hottehü	1
hr	1
hüa	1
huarks	1
huha	1
hukukuks	1
hup	1
hupp	1
hups	1
hurrdiburr	1
hurz	1
ieh	1
io	1
japp	1
japs	1
jipp	1
juchhei	1
kadung	1
karacho	1
kau	1
kawuppdich	1
kch	1
kille	1
klackerdiklack	1
klang	1
klarack	1
klariklaro	1
klatsche	1
klingeling	1
kloing	1
kloingboing	1
kloink	1
knabber	1
knarr	1
knik	1
knirsch	1
knuk	1
knusper	1
kok	1
kra	1
kracks	1
kradarabam	1
krah	1
kräschbumm	1
krexfexpex	1
krh	1
krick	1
krickkrack	1
kricks	1
krikelkrakel	1
krimsenkrams	1
krimskrams	1
kritzelkratzel	1
krixekraxe	1
krks	1
kschsch	1
kuddel	1
kuddelmuddel	1
kwock	1
la	1
lie	1
lila	1
lirumlarumschnirgelschreck	1
los	1
mampf	1
matsche	1
mauntz	1
meh	1
mep	1
miaua	1
micki	1
miep	1
mihihi	1
minibitziklitziklein	1
mio	1
mischmasch	1
möp	1
mpf	1
muddel	1
mümmel	1
mumpiz	1
nagnag	1
natnat	1
njähä	1
njam	1
nr	1
oargh	1
ogottoktok	1
ohlala	1
öhm	1
ohoho	1
öhöm	1
ohr	1
ohwei	1
ohweia	1
oi	1
olé	1
om	1
ops	1
örk	1
ötöt	1
ou	1
öuh	1
paduff	1
pang	1
päng	1
pardauz	1
patsche	1
patschematsche	1
pauz	1
penk	1
perdauz	1
phuäh	1
piek	1
pingel	1
pingpangpung	1
pink	1
pipapo	1
pitsch	1
pitschepatsche	1
pitschnass	1
piuh	1
pläng	1
plap	1
plärr	1
plingplong	1
plip	1
plöng	1
plöpp	1
plumdideldum	1
pock	1
pong	1
pottepenk	1
potzschwefelblitz	1
potzstern	1
pr	1
prt	1
pschsch	1
pü	1
puhah	1
pups	1
pust	1
putzmunter	1
quackediquack	1
quietsch	1
quip	1
quoack	1
rabauz	1
rackeldiewackeldiedudiedaffe	1
rangel	1
rappelzappel	1
raps	1
rapüh	1
rattattat	1
reib	1
rietsch	1
rips	1
rn	1
roa	1
röch	1
ruah	1
ruck	1
rumpelepum	1
rutschdiwutsch	1
sapperlot	1
sch	1
schicki	1
schlapp	1
schlärf	1
schleck	1
schleich	1
schlick	1
schlickentricki	1
schlimmschlamm	1
schlörf	1
schluchz	1
schluck	1
schlurps	1
schnaps	1
schnatter	1
schnaus	1
schnief	1
schnips	1
schnüffel	1
scht	1
schuppi	1
schwapp	1
schwubbelschwabbelschwischwaschworen	1
spriedel	1
spritz	1
sr	1
st 	1
stampf	1
stigl	1
stogl	1
stressel	1
summ	1
surr	1
tadong	1
tak	1
takadu	1
tamtam	1
tap	1
tapp	1
ticke	1
ticketack	1
tipp	1
tipptapp	1
tips	1
tock	1
törö	1
tradel	1
tralala	1
tralitrala	1
trara	1
trarira	1
tridel	1
trödel	1
ts 	1
tschampampam	1
tschang	1
tschiep	1
tschip	1
tschir	1
tschramms	1
tschtsch	1
tsurum	1
tz	1
uahgr	1
uär	1
uargh	1
uargror	1
uhuh	1
uuu	1
waff	1
wapp	1
wasch	1
wauwau	1
weh	1
wieher	1
wimmelwuselwirrwarr	1
winkewinke	1
witschiwatschiwu	1
wiwawackel	1
wouah	1
wrauar	1
wuhunderbar	1
wupp	1
wupps	1
wutsch	1
yay	1
yeah	1
yieha	1
yipyap	1
yum	1
yuppie	1
z	1
zackpeng	1
zh	1
zickezacke	1
zickzackzorn	1
zippelzappel	1
zm	1
zwiep	1
zwisch	1
zwitscher	1
zwoschdiplautz	1
